no,sex,weight,height
1,m,64,198
2,m,77,170
3,m,59,170
4,m,66,198
5,m,71,170
6,m,70,165
7,m,73,193
8,m,59,142
9,m,68,137
10,m,86,155
11,m,84,165
12,m,67,147
13,m,70,86
14,m,86,140
15,m,70,165
16,m,75,132
17,m,70,137
18,m,68,165
19,m,68,165
20,m,77,137
21,m,64,168
22,m,86,142
23,m,70,193
24,m,82,165
25,m,88,142
26,m,98,165
27,m,86,137
28,m,63,165
29,m,68,142
30,m,66,114
31,m,73,165
32,m,66,165
33,m,68,137
34,m,70,135
35,m,70,165
36,m,74,163
37,m,69,135
38,m,70,165
39,m,64,142
40,m,66,165
41,m,68,137
42,m,64,160
43,m,77,163
44,m,70,135
45,m,62,165
46,m,79,142
47,m,68,193
48,m,56,142
49,m,79,142
50,m,82,198
51,m,70,190
52,m,77,163
53,m,73,140
54,m,82,168
55,m,61,168
56,m,61,193
57,m,73,140
58,f,64,142
59,f,54,198
60,f,54,190
61,f,55,163
62,f,59,140
63,f,52,168
64,f,63,168
65,f,46,193
66,f,55,140
67,f,52,142
68,f,57,198
69,f,68,190
70,f,53,163
71,f,50,140
72,f,66,168
73,f,53,168
74,f,68,193
75,f,49,140
76,f,51,163
77,f,43,140
78,f,57,168
79,f,57,168
80,f,59,193
81,f,60,140
82,f,54,142
83,f,50,198
84,f,59,190
85,f,68,163
86,f,59,140
87,f,49,198
88,f,54,190
89,f,54,163
90,f,57,140
91,f,61,198
92,f,57,190
